Time (UNIX),Acc_x (1/64g),Acc_y (1/64g),Acc_z (1/64g),Left_Speed,Right_Speed,Comments
1639348570,12,60,-3,47,43,
,,,,,,
1639348571,-52,-24,28,-18,-30,
,,,,,,
1639348572,-56,28,5,19,33,
,,,,,,
1639348573,-55,27,3,18,32,
,,,,,,
1639348574,-39,23,41,17,24,
,,,,,,
1639348575,-19,17,56,12,14,
,,,,,,
1639348576,5,-61,-1,-48,-46,
,,,,,,
1639348577,1,-63,-2,-49,-49,
,,,,,,
1639348578,2,-64,-2,-50,-49,
,,,,,,
1639348579,0,-56,30,-44,-44,
,,,,,,
1639348580,0,-58,19,-45,-45,
,,,,,,
1639348581,7,33,52,26,25,
,,,,,,
1639348582,4,-8,62,-6,-6,
,,,,,,
1639348583,4,-4,65,-3,-3,
,,,,,,
1639348584,4,-6,65,-5,-5,
,,,,,,
1639348585,4,-7,64,-5,-5,
,,,,,,
1639348586,0,-1,63,-1,-1,
,,,,,,
1639348587,4,0,64,2,2,
,,,,,,
1639348588,4,-1,64,-2,-2,
,,,,,,
1639348589,3,-2,64,-2,-2,
,,,,,,
1639348591,30,13,53,17,13,
,,,,,,
1639348592,22,5,66,11,9,
,,,,,,
1639348594,4,-1,64,-2,-2,
,,,,,,
1639348640,-20,8,62,9,11,
,,,,,,
1639348641,6,30,77,23,22,
,,,,,,
1639348641,10,7,58,7,6,
,,,,,,
1639348641,8,12,57,9,8,
,,,,,,
1639348641,6,6,65,5,5,
,,,,,,
1639348641,0,3,63,2,2,
,,,,,,
1639348641,2,5,64,4,4,
,,,,,,
1639348641,4,9,73,7,7,
,,,,,,
1639348642,-10,13,42,9,10,
,,,,,,
1639348642,-11,5,36,6,6,
,,,,,,
1639348642,-10,12,74,8,9,
,,,,,,
1639348642,-11,-3,65,-5,-5,
,,,,,,
1639348642,-8,-2,67,-4,-4,
,,,,,,
1639348642,-28,-23,62,-16,-20,
,,,,,,
1639348642,-12,6,51,6,7,
,,,,,,
1639348642,-20,-19,41,-13,-15,
,,,,,,
1639348642,-14,14,62,10,11,
,,,,,,
1639348642,-18,6,52,8,9,
,,,,,,
1639348643,-20,2,46,8,9,
,,,,,,
1639348643,-11,-7,74,-6,-7,
,,,,,,
1639348643,-10,4,53,5,5,
,,,,,,
1639348643,-2,-5,61,-4,-4,
,,,,,,
1639348643,-10,0,59,4,4,
,,,,,,
1639348643,-1,11,78,9,9,
,,,,,,
1639348643,0,28,86,22,22,
,,,,,,
1639348644,-1,11,75,9,9,
,,,,,,
1639348644,3,-1,64,-2,-2,
,,,,,,
1639348644,6,0,62,2,2,
,,,,,,
1639348644,13,-6,61,-7,-6,
,,,,,,
1639348644,5,-11,68,-9,-9,
,,,,,,
1639348644,5,-11,67,-9,-9,
,,,,,,
1639348644,1,-6,75,-5,-5,
,,,,,,
1639348645,3,-7,63,-5,-5,
,,,,,,
1639348645,4,-11,61,-9,-9,
,,,,,,
1639348645,3,2,57,2,2,
,,,,,,
1639348645,8,0,69,3,3,
,,,,,,
1639348645,8,-1,67,-4,-4,
,,,,,,
1639348645,7,12,62,9,8,
,,,,,,
1639348645,-9,20,58,15,16,
,,,,,,
1639348645,-9,24,58,18,19,
,,,,,,
1639348646,-23,30,52,19,23,
,,,,,,
1639348646,-26,30,50,18,23,
,,,,,,
1639348646,-26,23,51,15,19,
,,,,,,
1639348646,-29,33,45,20,26,
,,,,,,
1639348646,-27,28,45,17,22,
,,,,,,
1639348646,-31,35,42,20,27,
,,,,,,
1639348646,-33,34,42,20,27,
,,,,,,
1639348646,-33,34,40,20,27,
,,,,,,
1639348647,-33,34,40,20,27,
,,,,,,
1639348647,-34,33,39,19,26,
,,,,,,
1639348647,-35,33,38,20,27,
,,,,,,
1639348647,-35,36,35,20,28,
,,,,,,
1639348647,-33,38,31,22,30,
,,,,,,
1639348647,-34,43,31,25,34,
,,,,,,
1639348647,-34,46,28,26,36,
,,,,,,
1639348648,-34,45,27,26,35,
,,,,,,
1639348648,-33,44,27,25,34,
,,,,,,
1639348648,-33,44,27,25,34,
,,,,,,
1639348648,-36,42,24,24,33,
,,,,,,
1639348648,-35,45,26,25,35,
,,,,,,
1639348648,-44,38,24,21,32,
,,,,,,
1639348648,-52,30,16,19,32,
,,,,,,
1639348648,-51,33,16,20,33,
,,,,,,
1639348648,-52,33,16,20,33,
,,,,,,
1639348649,-52,31,15,19,32,
,,,,,,
1639348649,-54,31,16,19,33,
,,,,,,
1639348649,-52,32,14,20,33,
,,,,,,
1639348649,-52,31,14,19,32,
,,,,,,
1639348649,-53,31,13,19,33,
,,,,,,
1639348649,-53,31,11,19,33,
,,,,,,
